"date","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2014-01-31,5.27,0.29,"16","5","winter","ACORN-P",0.73,0.91,7.08,"1",7.09102912815534
2014-01-31,5.27,0.29,"16","5","winter","ACORN-Q",0.73,0.91,7.08,"1",8.47275797845745
2014-01-31,5.27,0.29,"16","5","winter","ACORN-U",0.73,0.91,7.08,"1",12.8556818090909
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-A",0.84,0.86,7.53,"1",27.7350386909677
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-B",0.84,0.86,7.53,"1",16.126840008
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-C",0.84,0.86,7.53,"1",16.5192617416107
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-D",0.84,0.86,7.53,"1",20.4524647834507
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-E",0.84,0.86,7.53,"1",15.8122861747267
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-F",0.84,0.86,7.53,"1",13.2546454917282
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-G",0.84,0.86,7.53,"1",15.2301519647059
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-H",0.84,0.86,7.53,"1",14.988476718847
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-I",0.84,0.86,7.53,"1",13.0058571183673
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-J",0.84,0.86,7.53,"1",18.91233636
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-K",0.84,0.86,7.53,"1",13.2085900614907
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-L",0.84,0.86,7.53,"1",14.247961545858
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-M",0.84,0.86,7.53,"1",14.4438407079646
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-N",0.84,0.86,7.53,"1",12.7289000013333
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-O",0.84,0.86,7.53,"1",11.4639215666667
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-P",0.84,0.86,7.53,"1",9.31668807981651
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-Q",0.84,0.86,7.53,"1",9.94930413576642
2013-01-19,-2.56,-5.37,"16","6","winter","ACORN-U",0.84,0.86,7.53,"1",19.50089584375
2013-01-23,-1.4,-2.47,"16","3","winter","ACORN-A",0.75,0.82,7.69,"1",23.6028774077419
2013-01-23,-1.4,-2.47,"16","3","winter","ACORN-B",0.75,0.82,7.69,"1",13.542079996
2013-01-23,-1.4,-2.47,"16","3","winter","ACORN-C",0.75,0.82,7.69,"1",14.5082818872483
2013-01-23,-1.4,-2.47,"16","3","winter","ACORN-D",0.75,0.82,7.69,"1",18.083524643662
