"date","apparentTemperatureMax","sunsetTimeHour","weekday","season","stdorToU","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2013-01-06,6.98,"16","7","winter","Std","ACORN-O",0.67,0.96,5.5,"1",10.6901839
2013-01-06,6.98,"16","7","winter","ToU","ACORN-O",0.67,0.96,5.5,"1",10.9558125
2013-01-06,6.98,"16","7","winter","Std","ACORN-P",0.67,0.96,5.5,"1",8.84281609425287
2013-01-06,6.98,"16","7","winter","ToU","ACORN-P",0.67,0.96,5.5,"1",3.79340909090909
2013-01-06,6.98,"16","7","winter","Std","ACORN-Q",0.67,0.96,5.5,"1",8.8761428562942
2013-01-06,6.98,"16","7","winter","ToU","ACORN-Q",0.67,0.96,5.5,"1",8.34438136525424
2013-01-06,6.98,"16","7","winter","Std","ACORN-U",0.67,0.96,5.5,"1",15.7646052578947
2013-01-06,6.98,"16","7","winter","ToU","ACORN-U",0.67,0.96,5.5,"1",13.96639999
2012-01-31,1.13,"16","2","winter","Std","ACORN-A",0.55,0.84,5.62,"1",18.4831818272727
2012-01-31,1.13,"16","2","winter","ToU","ACORN-A",0.55,0.84,5.62,"1",14.5193333666667
2012-01-31,1.13,"16","2","winter","Std","ACORN-B",0.55,0.84,5.62,"1",4.5775
2012-01-31,1.13,"16","2","winter","Std","ACORN-C",0.55,0.84,5.62,"1",16.37162505
2012-01-31,1.13,"16","2","winter","ToU","ACORN-C",0.55,0.84,5.62,"1",10.9656666333333
2012-01-31,1.13,"16","2","winter","Std","ACORN-D",0.55,0.84,5.62,"1",15.7010370259259
2012-01-31,1.13,"16","2","winter","ToU","ACORN-D",0.55,0.84,5.62,"1",13.8441111111111
2012-01-31,1.13,"16","2","winter","Std","ACORN-E",0.55,0.84,5.62,"1",16.0574891309783
2012-01-31,1.13,"16","2","winter","ToU","ACORN-E",0.55,0.84,5.62,"1",11.430064516129
2012-01-31,1.13,"16","2","winter","Std","ACORN-F",0.55,0.84,5.62,"1",10.3000714357143
