"date","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2013-05-12,14.06,4.53,"19","7","spring",0.61,0.68,11.93,"5",5.51,1011.68,9.80834829610728
2012-11-23,10.7,3.97,"16","5","autumn",0.38,0.89,11.46,"11",6.02,1011.69,11.0147053721469
2012-07-28,17.92,10.97,"19","6","summer",0.3,0.75,12.97,"7",9.81,1011.76,8.0945854212766
2012-09-08,27.78,11.32,"18","6","summer",0.22,0.67,12.2,"9",10.83,1011.85,8.23576343329135
2013-09-24,20.87,13.67,"17","2","autumn",0.36,0.86,3.75,"9",14.34,1011.86,8.51779425342912
2012-11-30,2.52,-2.57,"15","5","autumn",0.25,0.88,10.01,"11",-0.24,1011.91,12.3005726941049
2014-01-08,11.62,4.53,"16","3","winter",0.5,0.85,11.99,"1",7.02,1011.94,11.0061509800784
2012-05-02,7.73,5.92,"19","3","spring",0.82,0.9,9.04,"5",7.14,1012.04,9.28573214308036
2013-06-19,20.2,16.22,"20","3","spring",0.47,0.81,6.71,"6",14.68,1012.05,8.03208653348942
2012-07-11,18.67,10.04,"20","3","summer",0.5,0.8,12.34,"7",10.29,1012.07,8.21289626881605
2012-04-29,17.15,6.21,"19","7","spring",0.32,0.68,13.13,"4",7.05,1012.09,11.5585434884521
2012-09-30,16.24,12.37,"17","7","autumn",0.61,0.89,11.43,"9",12.43,1012.11,10.1497844155844
2011-12-02,5.33,0.46,"15","5","autumn",0.32,0.87,11.89,"12",3.69,1012.12,10.145910005
