"date","apparentTemperatureMax","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","energy_sum"
2012-03-30,11.09,"18","5","spring",0.61,0.71,11.22,"3",9.34331788707317
2012-03-19,13.27,"18","1","winter",0.17,0.68,11.46,"3",11.0559449086835
2013-03-17,5.13,"18","7","winter",0.64,0.88,11.52,"3",12.5777825527296
2012-03-18,8.03,"18","7","winter",0.38,0.82,11.57,"3",12.1554413464423
2012-03-26,18.26,"18","1","spring",0.14,0.53,11.64,"3",9.98495594530341
2013-03-28,0.31,"18","4","spring",0.5,0.66,11.64,"3",12.0509543181247
2012-03-07,10.75,"17","3","winter",0.46,0.78,11.8,"3",12.757729392539
2013-03-16,3.91,"18","6","winter",0.69,0.85,12.13,"3",12.186486909458
2013-03-10,0.33,"17","7","winter",0.81,0.82,12.26,"3",12.8230727297735
2013-03-12,-0.56,"18","2","winter",0.54,0.63,12.34,"3",12.8522952649291
2013-03-15,4.56,"18","5","winter",0.65,0.81,12.36,"3",11.5908591707097
2012-03-06,7.22,"17","2","winter",0.55,0.78,12.55,"3",13.0291936920045
2012-03-21,15.62,"18","3","spring",0.47,0.67,12.6,"3",10.3803018700801
2012-03-27,21.14,"18","2","spring",0.1,0.49,12.62,"3",9.56769350731306
2013-03-31,1.64,"18","7","spring",0.4,0.68,12.67,"3",11.9327208888355
2013-03-31,1.29,"18","7","spring",0.57,0.64,12.68,"3",11.9327208888355
2013-03-25,-2.89,"18","1","spring",0.68,0.65,12.76,"3",13.1182948122023
2013-03-26,-2.29,"18","2","spring",0.69,0.65,12.81,"3",12.9165594512001
2012-03-31,12.88,"18","6","spring",0.25,0.61,12.83,"3",10.4233533220421
2013-03-27,-0.19,"18","3","spring",0.48,0.64,12.86,"3",12.4960441531868
2012-03-08,12.03,"17","4","winter",0.29,0.68,12.96,"3",12.0449306114537
2012-03-09,10.86,"17","5","winter",0.64,0.78,13.02,"3",12.1569891098039
2013-03-13,3.01,"18","3","winter",0.37,0.73,13.04,"3",12.119938075341
2012-03-20,14.48,"18","2","winter",0.34,0.72,13.05,"3",10.7309130871912
2013-03-02,3.13,"17","6","winter",0.66,0.72,13.05,"3",12.3088508924986
2012-03-05,5.56,"17","1","winter",0.48,0.64,13.07,"3",12.7162520024055
2013-03-30,1.53,"18","6","spring",0.66,0.69,13.1,"3",11.7919036962847
2013-03-29,1.71,"18","5","spring",0.59,0.63,13.45,"3",12.2315757362123
2013-04-09,10.59,"18","2","spring",0.61,0.79,4.44,"4",10.9003879231753
2013-04-10,11.3,"18","3","spring",0.69,0.9,6.07,"4",10.3913719418458
2013-04-08,6.01,"18","1","spring",0.7,0.83,6.66,"4",10.5934204491202
2012-04-12,12.02,"18","4","spring",0.45,0.77,8.8,"4",10.1153617465696
2012-04-27,10.03,"19","5","spring",0.74,0.92,9.06,"4",9.65954658007929
2012-04-30,17.24,"19","1","spring",0.61,0.84,9.29,"4",9.33754997640929
2012-04-04,6.47,"18","3","spring",0.7,0.76,9.64,"4",10.2503971160213
2013-04-24,22.08,"19","3","spring",0.27,0.72,10.17,"4",8.50609896036019
2012-04-28,14.89,"19","6","spring",0.7,0.86,10.28,"4",10.7189218314159
2012-04-13,11.62,"18","5","spring",0.47,0.72,10.62,"4",10.0172454382691
2012-04-18,8.05,"19","3","spring",0.67,0.91,10.7,"4",10.7933208024257
2013-04-03,-1.57,"18","3","spring",0.55,0.74,10.8,"4",11.9232258596374
2013-04-16,17.95,"19","2","spring",0.54,0.77,10.8,"4",9.22987664514932
2013-04-07,7.18,"18","7","spring",0.36,0.65,10.81,"4",11.1582951846481
2012-04-07,13.08,"18","6","spring",0.72,0.81,10.83,"4",10.3130231164802
2013-04-12,11.42,"18","5","spring",0.57,0.87,11.06,"4",10.3722930491566
2012-04-02,12.92,"18","1","spring",0.31,0.75,11.12,"4",9.92628863990536
2012-04-08,10.81,"18","7","spring",0.72,0.89,11.15,"4",10.6163328348507
2012-04-24,11.94,"19","2","spring",0.57,0.88,11.22,"4",10.0326027908213
2012-04-03,10.18,"18","2","spring",0.49,0.75,11.47,"4",10.1647025569326
2012-04-19,12.46,"19","4","spring",0.37,0.83,11.52,"4",10.6927654697702
2013-04-11,11.51,"18","4","spring",0.54,0.87,11.62,"4",10.5597506942169
2012-04-06,10.48,"18","5","spring",0.72,0.75,11.64,"4",10.5564769046945
2012-04-22,7.28,"19","7","spring",0.63,0.86,11.68,"4",10.6759580239365
2012-04-23,12.48,"19","1","spring",0.57,0.76,11.75,"4",10.2332989513514
2013-04-06,10.37,"18","6","spring",0.4,0.62,11.84,"4",11.0971770039067
2012-04-17,10.01,"19","2","spring",0.6,0.87,11.86,"4",10.6174434014384
2013-04-23,19.35,"19","2","spring",0.33,0.74,11.96,"4",8.66526337323551
2012-04-11,12.13,"18","3","spring",0.32,0.77,12.02,"4",10.0639800401996
2013-04-21,14.32,"19","7","spring",0.66,0.74,12.04,"4",9.99667631842984
2013-04-19,13.14,"19","5","spring",0.16,0.66,12.07,"4",9.44901226100687
2013-04-25,13.28,"19","4","spring",0.51,0.65,12.12,"4",8.28206681505197
2013-04-13,19.88,"18","6","spring",0.45,0.7,12.36,"4",10.531617352132
2012-04-01,15.04,"18","7","spring",0.24,0.63,12.46,"4",10.7465230768421
2013-04-27,11.59,"19","6","spring",0.27,0.64,12.49,"4",9.52584724036424
2013-04-22,20.25,"19","1","spring",0.46,0.68,12.5,"4",9.41152330447539
2012-04-25,13.89,"19","3","spring",0.56,0.77,12.5,"4",10.4972886333683
2013-04-15,16.55,"18","1","spring",0.4,0.7,12.52,"4",9.3196743918969
2012-04-16,13.77,"19","1","spring",0.42,0.71,12.55,"4",10.4448520683463
2013-04-30,16.32,"19","2","spring",0.26,0.62,12.7,"4",8.84434200802974
2012-04-20,12.45,"19","5","spring",0.35,0.73,12.76,"4",10.2849724452354
2012-04-15,10.94,"18","7","spring",0.37,0.59,12.78,"4",11.1263464632844
2013-04-20,14.12,"19","6","spring",0.28,0.64,12.79,"4",9.48570009257196
2013-04-17,14.11,"19","3","spring",0.35,0.64,12.81,"4",9.17927174876646
2012-04-26,14.84,"19","4","spring",0.49,0.77,12.92,"4",9.91272838890026
2013-04-14,15.43,"18","7","spring",0.42,0.72,12.96,"4",10.0442564420545
2013-04-01,3.74,"18","1","spring",0.2,0.57,13.02,"4",11.9824229419611
2013-04-05,8.53,"18","5","spring",0.23,0.63,13.02,"4",11.7314792668086
2012-04-05,12.28,"18","4","spring",0.35,0.65,13.05,"4",10.6452334067114
2013-04-04,3.68,"18","4","spring",0.63,0.61,13.08,"4",12.2019722473821
2013-04-02,-0.57,"18","2","spring",0.45,0.64,13.1,"4",11.2662517108933
2012-04-10,12.91,"18","2","spring",0.31,0.7,13.1,"4",9.91865182430657
