"date","Acorn","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2013-12-25,"ACORN-G",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,12.1372968755208
2013-12-25,"ACORN-H",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,15.1691658990783
2013-12-25,"ACORN-I",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,11.6820416708333
2013-12-25,"ACORN-J",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,14.0715624854167
2013-12-25,"ACORN-K",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,12.8359668993377
2013-12-25,"ACORN-L",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,13.445616817757
2013-12-25,"ACORN-M",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,12.821798075
2013-12-25,"ACORN-N",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,11.32675694375
2013-12-25,"ACORN-O",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,10.2881808521277
2013-12-25,"ACORN-P",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,7.15536537788462
2013-12-25,"ACORN-Q",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,9.206810026781
2013-12-25,"ACORN-U",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,12.4499318113636
2014-02-09,"ACORN-A",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,22.6446499978571
2014-02-09,"ACORN-B",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,13.9310000217391
2014-02-09,"ACORN-C",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,13.4293021647482
2014-02-09,"ACORN-D",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,15.7661011743191
2014-02-09,"ACORN-E",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,12.779196975469
2014-02-09,"ACORN-F",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,11.3404301565079
2014-02-09,"ACORN-G",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,12.7887644020942
2014-02-09,"ACORN-H",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,13.0996774953596
2014-02-09,"ACORN-I",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,10.1976808574468
2014-02-09,"ACORN-J",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,12.7670434836957
2014-02-09,"ACORN-K",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,12.6451200093333
2014-02-09,"ACORN-L",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,12.152933122293
2014-02-09,"ACORN-M",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,12.1294854368932
2014-02-09,"ACORN-N",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,10.7647500027778
2014-02-09,"ACORN-O",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,10.6189456597826
2014-02-09,"ACORN-P",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,7.34527722673267
2014-02-09,"ACORN-Q",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,8.87215845565912
2014-02-09,"ACORN-U",3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,12.2669772681818
2014-01-28,"ACORN-A",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,21.1971134851064
2014-01-28,"ACORN-B",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,12.7398260826087
2014-01-28,"ACORN-C",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,13.2313309345324
2014-01-28,"ACORN-D",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,14.9330350206226
2014-01-28,"ACORN-E",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,12.2946959969957
2014-01-28,"ACORN-F",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,10.1947109023697
2014-01-28,"ACORN-G",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,11.5746387465969
2014-01-28,"ACORN-H",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,11.9362199111111
2014-01-28,"ACORN-I",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,9.63879166875
2014-01-28,"ACORN-J",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,12.2841052536842
2014-01-28,"ACORN-K",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,10.9785799906667
2014-01-28,"ACORN-L",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,10.8530597474843
2014-01-28,"ACORN-M",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,11.3172815456311
2014-01-28,"ACORN-N",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,9.29381250416667
2014-01-28,"ACORN-O",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,8.84153763870968
2014-01-28,"ACORN-P",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,7.53349514563107
2014-01-28,"ACORN-Q",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,8.16654654281915
2014-01-28,"ACORN-U",6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,11.6304545477273
2012-12-14,"ACORN-A",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,25.0877531702532
2012-12-14,"ACORN-B",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,13.668680004
2012-12-14,"ACORN-C",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,14.5514295302013
2012-12-14,"ACORN-D",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,19.1552857209059
2012-12-14,"ACORN-E",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,13.9625272639513
2012-12-14,"ACORN-F",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,11.5079353881057
2012-12-14,"ACORN-G",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,13.2494390214634
2012-12-14,"ACORN-H",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,13.8724611935698
2012-12-14,"ACORN-I",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,11.942938777551
2012-12-14,"ACORN-J",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,16.0783963891892
2012-12-14,"ACORN-K",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,11.8899696927273
2012-12-14,"ACORN-L",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,12.288041175
2012-12-14,"ACORN-M",10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,12.6631946884956
